service,level,message
15,Mar,NUM:NUM:NUM prod-web-NUM payment-svc[NUM]: <ERROR> Payment gateway returned HTTP NUM endpoint=api.stripe.internal/vNUM/charges
15,Mar,"NUM:NUM:NUM prod-web-NUM payment-svc[NUM]: <ERROR> Deadlock detected on transactions table, rolling back txn=txn-NUM"
15,Mar,"NUM:NUM:NUM prod-web-NUM payment-svc[NUM]: <ERROR> Deadlock detected on transactions table, rolling back txn=txn-NUM"
15,Mar,"NUM:NUM:NUM prod-web-NUM payment-svc[NUM]: <ERROR> Deadlock detected on transactions table, rolling back txn=txn-NUM"
15,Mar,NUM:NUM:NUM prod-web-NUM email-service[NUM]: <ERROR> Template rendering failed template=invoice_vNUM error=missing variable 'company_name'
15,Mar,NUM:NUM:NUM prod-web-NUM email-service[NUM]: <ERROR> Template rendering failed template=invoice_vNUM error=missing variable 'company_name'
15,Mar,"NUM:NUM:NUM prod-web-NUM payment-svc[NUM]: <WARN> Currency conversion rate stale, using cached value"
15,Mar,"NUM:NUM:NUM prod-web-NUM payment-svc[NUM]: <ERROR> Deadlock detected on transactions table, rolling back txn=txn-NUM"
15,Mar,NUM:NUM:NUM prod-db-NUM payment-svc[NUM]: <ERROR> Payment gateway returned HTTP NUM endpoint=api.stripe.internal/vNUM/charges
15,Mar,NUM:NUM:NUM prod-app-NUM payment-svc[NUM]: <ERROR> Payment gateway returned HTTP NUM endpoint=api.stripe.internal/vNUM/charges
